,word1,word2,similarity,relatedness,euclidean_metric,cosine_metric,wu_palmer,leacock_chodorow
0,stary,nowy,0.43,7.29,0.5278764367103577,7.6374393701553345,0.3333333333333333,1.2041199826559248
1,bystry,inteligentny,8.86,9.71,0.30740106105804443,6.4442694187164316,0.75,1.505149978319906
2,ciężki,trudny,4.86,7.29,0.4583336114883423,7.287328392267227,0.2857142857142857,1.1072099696478683
3,szczęśliwy,radosny,8.14,8.86,0.5081049203872681,7.540360689163207,0.25,1.0280287236002434
4,łatwy,męczący,0.43,6.43,0.4884016513824463,7.441671937704086,0.18181818181818185,1.0280287236002434
5,szybki,gwałtowny,3.71,7.0,0.448948860168457,7.238228917121887,0.25,1.2041199826559248
6,szczęśliwy,zadowolony,6.29,8.14,0.5245218276977539,7.621106207370758,0.2857142857142857,1.1072099696478683
7,krótki,długi,0.43,7.43,0.9347999095916748,9.201372265815737,0.5,1.505149978319906
8,głupi,tępy,7.57,9.14,0.5048172473907471,7.524028420448303,0.2857142857142857,1.1072099696478683
9,dziwny,niesamowity,4.57,6.14,0.4983288049697876,7.491637170314789,0.5714285714285714,1.505149978319906
10,szeroki,wąski,0.43,7.43,0.7737792730331421,8.681508600711823,0.4,1.3290587192642247
11,zły,okropny,6.57,8.29,0.4778499603271485,7.388022840023041,0.2857142857142857,1.1072099696478683
12,łatwy,uciążliwy,0.14,4.43,0.41587865352630615,7.061702162027358,0.2,1.1072099696478683
13,zły,straszny,6.29,8.29,0.4030150175094605,6.991559863090515,0.2857142857142857,1.1072099696478683
14,skomplikowany,prosty,0.14,6.14,0.5077243447303772,7.5384721159935,0.25,1.0280287236002434
15,bystry,tępy,0.14,6.43,0.2419964075088501,6.043567210435867,0.2857142857142857,1.1072099696478683
16,obłąkany,zwariowany,7.29,8.29,0.4039468765258789,6.99666902422905,0.3333333333333333,1.2041199826559248
17,szczęśliwy,wściekły,0.14,5.29,0.3415088653564453,6.6447462141513824,0.2222222222222222,0.9610819339696304
18,wielki,olbrzymi,9.14,9.57,0.5158131122589111,7.578440606594086,0.5,1.505149978319906
19,twardy,ciężki,1.86,5.57,0.31003284454345703,6.45994633436203,0.4,1.3290587192642247
20,nowy,świeży,6.43,8.57,0.2577477693557739,6.142023354768753,0.3333333333333333,1.2041199826559248
21,ostry,tępy,0.43,7.43,0.3463988304138184,6.6730108857154855,0.2857142857142857,1.1072099696478683
22,prędki,gwałtowny,4.29,6.43,0.2691696882247925,6.212641820311546,0.2222222222222222,1.1072099696478683
23,tępy,głupawy,8.29,8.71,0.4672050476074219,7.3333366215229026,0.4,1.3290587192642247
24,cudowny,wspaniały,9.14,9.86,0.5346248745918274,7.67012745141983,0.25,1.2041199826559248
25,dziwaczny,osobliwy,8.29,8.71,0.6108303070068359,8.023442924022675,0.8571428571428571,1.8061799739838869
26,szczęśliwy,zły,0.14,5.57,0.340643048286438,6.639728993177414,0.2222222222222222,0.9610819339696304
27,wąski,rozległy,0.43,6.86,0.4961546659469605,7.48073622584343,0.3333333333333333,1.2041199826559248
28,prosty,łatwy,8.86,9.0,0.5020212531089783,7.510096132755279,0.25,1.0280287236002434
29,stary,świeży,0.14,5.71,0.22725725173950195,5.950315371155739,0.3333333333333333,1.2041199826559248
30,widoczny,oczywisty,7.0,7.29,0.2930166721343994,6.357978284358977,0.25,1.0280287236002434
