nr,word1,word2,similarity,relatedness,wu_palmer,leacock_chodorow
1,stary,nowy,0.43,7.29,0.3333333333333333,1.2041199826559248
2,bystry,inteligentny,8.86,9.71,0.75,1.505149978319906
3,ciężki,trudny,4.86,7.29,0.2857142857142857,1.1072099696478683
4,szczęśliwy,radosny,8.14,8.86,0.25,1.0280287236002434
5,łatwy,męczący,0.43,6.43,0.18181818181818182,1.0280287236002434
6,szybki,gwałtowny,3.71,7.0,0.25,1.2041199826559248
7,szczęśliwy,zadowolony,6.29,8.14,0.2857142857142857,1.1072099696478683
8,krótki,długi,0.43,7.43,0.5,1.505149978319906
9,głupi,tępy,7.57,9.14,0.2857142857142857,1.1072099696478683
10,dziwny,niesamowity,4.57,6.14,0.5714285714285714,1.505149978319906
11,szeroki,wąski,0.43,7.43,0.4,1.3290587192642247
12,zły,okropny,6.57,8.29,0.2857142857142857,1.1072099696478683
13,łatwy,uciążliwy,0.14,4.43,0.2,1.1072099696478683
14,zły,straszny,6.29,8.29,0.2857142857142857,1.1072099696478683
15,skomplikowany,prosty,0.14,6.14,0.25,1.0280287236002434
16,bystry,tępy,0.14,6.43,0.2857142857142857,1.1072099696478683
17,obłąkany,zwariowany,7.29,8.29,0.3333333333333333,1.2041199826559248
18,szczęśliwy,wściekły,0.14,5.29,0.2222222222222222,0.9610819339696304
19,wielki,olbrzymi,9.14,9.57,0.5,1.505149978319906
20,twardy,ciężki,1.86,5.57,0.4,1.3290587192642247
21,nowy,świeży,6.43,8.57,0.3333333333333333,1.2041199826559248
22,ostry,tępy,0.43,7.43,0.2857142857142857,1.1072099696478683
23,prędki,gwałtowny,4.29,6.43,0.2222222222222222,1.1072099696478683
24,tępy,głupawy,8.29,8.71,0.4,1.3290587192642247
25,cudowny,wspaniały,9.14,9.86,0.25,1.2041199826559248
26,dziwaczny,osobliwy,8.29,8.71,0.8571428571428571,1.806179973983887
27,szczęśliwy,zły,0.14,5.57,0.2222222222222222,0.9610819339696304
28,wąski,rozległy,0.43,6.86,0.3333333333333333,1.2041199826559248
29,prosty,łatwy,8.86,9.0,0.25,1.0280287236002434
30,stary,świeży,0.14,5.71,0.3333333333333333,1.2041199826559248
31,widoczny,oczywisty,7.0,7.29,0.25,1.0280287236002434
32,niedrogi,tani,8.71,9.43,0.25,1.2041199826559248
33,miły,wielkoduszny,3.0,5.14,0.2,1.0280287236002434
34,dziwny,normalny,0.43,7.43,0.25,1.1072099696478683
35,dziwny,osobliwy,8.71,8.86,1.0,2.0
36,zły,niemoralny,5.86,8.29,0.36363636363636365,0.9610819339696304
37,smutny,zabawny,0.43,5.57,0.5,1.505149978319906
38,wspaniały,świetny,9.14,9.14,0.5,1.2041199826559248
39,winny,zawstydzony,0.57,4.43,0.3333333333333333,1.2041199826559248
40,piękny,wspaniały,6.43,8.14,0.4,1.0280287236002434
41,przeświadczony,pewny,7.29,7.86,0.3333333333333333,1.2041199826559248
42,głupol,tępy,7.43,8.14,0.2222222222222222,0.9610819339696304
43,wielki,duży,8.71,9.0,0.5,1.505149978319906
44,miły,okrutny,0.43,5.86,0.18181818181818182,0.9610819339696304
45,niecierpliwy,niespokojny,4.71,6.57,0.4,1.3290587192642247
46,duży,szeroki,4.86,7.86,0.5,1.505149978319906
47,silny,dumny,0.43,2.71,0.3333333333333333,1.2041199826559248
48,niepotrzebny,potrzebny,0.43,7.43,0.5,1.505149978319906
49,niespokojny,młody,0.43,2.71,0.5,1.505149978319906
50,głupi,inteligentny,0.43,7.29,0.2857142857142857,1.1072099696478683
51,zły,świetny,0.29,5.57,0.2857142857142857,1.1072099696478683
52,trudny,prosty,0.14,6.29,0.2222222222222222,0.9610819339696304
53,potrzebny,ważny,6.86,7.43,0.25,1.2041199826559248
54,zły,niesamowity,0.29,3.86,0.25,1.0280287236002434
55,szalony,zadowolony,0.29,2.71,0.4,1.3290587192642247
56,uczciwy,winny,0.43,3.43,0.3333333333333333,1.2041199826559248
57,łatwy,trudny,0.14,6.86,0.2222222222222222,1.0280287236002434
58,łatwy,elastyczny,1.57,2.29,0.3333333333333333,1.2041199826559248
59,niewątpliwy,pewny,7.43,8.0,0.25,1.0280287236002434
60,istotny,potrzebny,7.43,8.29,0.5,1.505149978319906
61,inny,normalny,0.43,6.29,0.2857142857142857,1.2041199826559248
62,chytry,mądry,2.14,4.57,0.3333333333333333,1.2041199826559248
63,istotny,ważny,9.43,9.57,0.25,1.2041199826559248
64,przykry,okrutny,4.0,5.71,0.36363636363636365,1.0280287236002434
65,dziecinny,głupi,4.86,6.71,0.25,1.0280287236002434
66,unikatowy,rzadki,9.0,9.0,0.3333333333333333,1.2041199826559248
67,przyjacielski,hojny,1.0,5.0,0.2,0.9030899869919435
68,delikatny,nieczuły,0.43,4.57,0.3333333333333333,1.2041199826559248
69,długi,wąski,0.29,5.57,0.4,1.3290587192642247
70,duży,ciężki,0.71,5.43,0.5,1.505149978319906
71,szorstki,chłodny,3.86,5.71,0.2857142857142857,1.1072099696478683
72,dziwaczny,dziwny,9.29,9.29,0.8571428571428571,1.806179973983887
73,nielegalny,niemoralny,0.71,4.0,0.2222222222222222,0.9610819339696304
74,zły,winny,2.0,4.29,0.3333333333333333,1.2041199826559248
75,nowoczesny,starożytny,0.14,6.43,0.4,1.3290587192642247
76,nowy,starożytny,0.14,6.0,0.4,1.3290587192642247
77,nudny,zabawny,0.14,5.86,0.3333333333333333,1.2041199826559248
78,szczęśliwy,młody,0.0,3.43,0.2857142857142857,1.1072099696478683
79,łatwy,duży,0.29,0.29,0.3333333333333333,1.2041199826559248
80,wspaniały,okropny,0.29,5.86,0.25,1.1072099696478683
81,malutki,ogromny,0.14,6.71,0.5,1.505149978319906
82,uprzejmy,odpowiedni,1.0,2.43,0.2222222222222222,1.0280287236002434
83,skromny,zawstydzony,1.86,3.71,0.2857142857142857,1.1072099696478683
84,egzotyczny,rzadki,5.43,7.29,0.4,1.3290587192642247
85,głupi,mądry,0.29,6.71,0.3333333333333333,1.2041199826559248
86,zachwycający,cudowny,9.0,9.71,0.25,1.2041199826559248
87,zauważalny,oczywisty,5.43,7.57,0.2857142857142857,1.3290587192642247
88,przestraszony,zalękniony,8.86,9.14,1.0,2.0
89,formalny,właściwy,1.71,3.29,0.2857142857142857,1.1072099696478683
90,ponury,nudny,0.57,3.14,0.2857142857142857,1.1072099696478683
91,zachwycający,wesoły,0.57,2.57,0.5,1.2041199826559248
92,nieszczęśliwy,szalony,0.43,4.43,0.3333333333333333,1.2041199826559248
93,smutny,straszny,0.43,1.57,0.4,1.3290587192642247
94,chory,zwariowany,2.14,4.43,0.4,1.3290587192642247
95,gwałtowny,gniewny,4.57,6.29,0.2,1.0280287236002434
96,obładowany,ciężki,2.29,5.57,N/A,N/A
97,brudny,tani,0.0,1.43,0.25,1.2041199826559248
98,elastyczny,giętki,9.29,9.29,1.0,2.0
99,twardy,gęsty,0.86,3.86,0.4,1.3290587192642247
100,niedawny,nowy,6.86,8.57,N/A,N/A
101,śmiały,dumny,1.14,4.14,0.6666666666666666,1.3290587192642247
102,dziwny,przebiegły,0.29,2.14,0.2857142857142857,1.1072099696478683
103,dziwny,chytry,1.43,2.0,0.2857142857142857,1.1072099696478683
104,głupi,rzadki,0.0,0.0,0.3333333333333333,1.2041199826559248
105,przebiegły,twardy,0.0,0.14,0.2857142857142857,1.1072099696478683
106,niesamowity,szalony,1.71,3.43,0.2857142857142857,1.3290587192642247
107,skromny,elastyczny,0.0,0.29,0.4,1.3290587192642247
108,świeży,rozległy,0.0,0.0,0.3333333333333333,1.2041199826559248
109,ogromny,głupi,0.0,0.0,0.3333333333333333,1.2041199826559248
110,wielki,elastyczny,0.29,0.57,0.5,1.505149978319906
111,brudny,wąski,0.0,0.86,0.4,1.3290587192642247
112,żona,mąż,2.14,8.43,0.6666666666666666,1.2041199826559248
113,książka,tekst,3.14,7.0,0.8,1.505149978319906
114,narzeczony,narzeczona,2.71,9.57,0.5882352941176471,1.3290587192642247
115,noc,dzień,0.29,7.43,0.3333333333333333,1.2041199826559248
116,południe,północ,0.29,7.43,0.875,1.505149978319906
117,samolot,lotnisko,0.57,8.57,0.375,1.0280287236002434
118,wuj,ciotka,2.43,9.29,0.6153846153846154,1.2041199826559248
119,koń,klacz,4.29,9.14,0.9411764705882353,1.806179973983887
120,dno,wierzch,0.29,7.57,0.2,1.1072099696478683
121,przyjaciel,kumpel,6.71,8.43,0.8,1.3290587192642247
122,student,uczeń,7.57,8.71,0.7272727272727273,1.505149978319906
123,świat,glob,7.14,9.0,0.25,1.0280287236002434
124,noga,ramię,0.29,8.0,0.18181818181818182,0.8519374645445623
125,samolot,odrzutowiec,6.71,9.57,0.9473684210526315,1.806179973983887
126,kobieta,mężczyzna,2.14,8.43,0.8333333333333334,1.505149978319906
127,koń,źrebak,7.57,9.29,0.5714285714285714,1.2041199826559248
128,aktorka,aktor,2.43,9.29,0.8333333333333334,1.505149978319906
129,nauczyciel,instruktor,7.29,9.0,0.8,1.806179973983887
